datetime,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,pm25,source,aqi,risk_category,hour,day_of_week,is_weekend,month,hour_sin,hour_cos,dow_sin,dow_cos,season_autumn,season_spring,season_summer,season_winter,time_of_day_afternoon,time_of_day_evening,time_of_day_morning,time_of_day_night,temperature_2m_roll_24h_mean,temperature_2m_roll_24h_std,temperature_2m_roll_7d_mean,temperature_2m_roll_7d_std,relative_humidity_2m_roll_24h_mean,relative_humidity_2m_roll_24h_std,relative_humidity_2m_roll_7d_mean,relative_humidity_2m_roll_7d_std,surface_pressure_roll_24h_mean,surface_pressure_roll_24h_std,surface_pressure_roll_7d_mean,surface_pressure_roll_7d_std,wind_speed_10m_roll_24h_mean,wind_speed_10m_roll_24h_std,wind_speed_10m_roll_7d_mean,wind_speed_10m_roll_7d_std,precipitation_roll_24h_mean,precipitation_roll_24h_std,precipitation_roll_7d_mean,precipitation_roll_7d_std,pm25_roll_24h_mean,pm25_roll_24h_std,pm25_roll_7d_mean,pm25_roll_7d_std,pm25_lag_24h,temperature_2m_lag_24h,relative_humidity_2m_lag_24h,surface_pressure_lag_24h,wind_speed_10m_lag_24h,precipitation_lag_24h
2025-08-01 17:00:00,12.8,68.0,1006.4,10.6,145.0,0.0,4.465,openaq_ground,18.604166666666668,Good,17,4,0,8,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,True,False,False,10.891666666666666,1.7472753115902337,11.426190476190476,1.8128349344105437,86.0,12.597446256043835,86.71428571428571,10.121905041664533,1000.9541666666665,2.9270818182987672,1000.4904761904761,2.3199883855690184,9.645833333333334,3.82042328256582,8.492857142857142,3.3680270592406174,0.0,0.0,0.05952380952380952,0.25380953470483497,3.242419791666667,2.3633066894090127,3.9250970238095237,2.7916329983552948,3.12,12.8,88.0,998.4,6.8,0.1
2025-08-01 18:00:00,11.8,71.0,1007.5,12.3,150.0,0.0,2.225,openaq_ground,9.270833333333334,Good,18,4,0,8,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,True,False,False,10.9125,1.7553180066152745,11.434883720930232,1.7920304686145736,85.16666666666667,12.909944487358047,86.34883720930233,10.283791502327555,1001.3291666666665,3.165778861054936,1000.653488372093,2.529196073779808,10.0875,3.4573566806725746,8.581395348837209,3.377957667976986,0.0,0.0,0.05813953488372093,0.25093402485185223,3.218878125,2.3708114920720487,3.8855598837209304,2.770357204121298,2.79,11.3,91.0,998.5,1.7,0.0
2025-08-01 19:00:00,11.0,68.0,1008.7,13.8,160.0,0.0,3.095,openaq_ground,12.895833333333336,Good,19,4,0,8,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,True,False,False,10.920833333333334,1.7552354398414352,11.424999999999999,1.7722833780445564,84.125,13.254408618496965,85.93181818181819,10.533220376554224,1001.7458333333333,3.4500131274693855,1000.8363636363637,2.778412706388076,10.620833333333334,2.9436710542046463,8.700000000000001,3.429895923568473,0.0,0.0,0.056818181818181816,0.24815386006746867,3.235336458333333,2.3684226474617525,3.867592613636364,2.7405469677315204,2.7,10.8,93.0,998.7,1.0,0.0
2025-08-01 20:00:00,10.3,68.0,1009.6,13.5,161.0,0.0,4.335,openaq_ground,18.0625,Good,20,4,0,8,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,True,False,False,10.924999999999999,1.7535677916750163,11.4,1.7600361566534004,83.04166666666667,13.472933145244637,85.53333333333333,10.750475676579493,1002.1958333333333,3.7411320266171764,1001.0311111111112,3.0415174309590802,11.0,2.6819849884480793,8.806666666666667,3.465374176307399,0.0,0.0,0.05555555555555555,0.24546389806349384,3.354919791666667,2.347512641200616,3.877979444444444,2.710121244872933,1.465,10.2,94.0,998.8,4.4,0.0
2025-08-01 21:00:00,9.6,70.0,1010.5,11.2,169.0,0.0,4.865,openaq_ground,20.270833333333336,Good,21,4,0,8,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,False,False,True,10.862499999999999,1.7736752558017692,11.360869565217392,1.76048961130067,82.125,13.584878101899845,85.19565217391305,10.874270479168077,1002.6916666666667,4.021887580495771,1001.2369565217392,3.315777682914168,11.2125,2.4705768557160845,8.858695652173912,3.44477550224533,0.0,0.0,0.05434782608695652,0.24285937562404802,3.4878364583333332,2.3385518221868025,3.899436413043478,2.683788144611738,1.675,11.1,92.0,998.6,6.1,0.0
2025-08-01 22:00:00,9.3,70.0,1011.1,11.7,171.0,0.0,0.945,openaq_ground,3.9375,Good,22,4,0,8,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,False,False,True,10.799999999999999,1.8021726018771107,11.317021276595744,1.7670066987565465,81.20833333333333,13.631737796859154,84.87234042553192,10.981440907427872,1003.2208333333333,4.261044898049051,1001.4468085106383,3.5812222266214158,11.454166666666666,2.1968315457903644,8.919148936170213,3.4322408891005978,0.0,0.0,0.05319148936170213,0.24033587351851476,3.4801281250000002,2.346951443747923,3.836576063829787,2.6892108259156013,1.13,10.8,92.0,998.4,5.9,0.0
2025-08-01 23:00:00,9.2,71.0,1012.1,9.9,164.0,0.0,1.1485,openaq_ground,4.785416666666667,Good,23,4,0,8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,False,False,True,10.745833333333335,1.830889345946784,11.272916666666667,1.7746128835678001,80.29166666666667,13.543742873168124,84.58333333333333,11.046966144281779,1003.7999999999998,4.4875673665770215,1001.6687499999999,3.862209501573163,11.620833333333335,1.8870218465283688,8.939583333333333,3.398481487140943,0.0,0.0,0.052083333333333336,0.23788928529199804,3.501023958333334,2.3227378925699704,3.780574479166667,2.688591105582688,0.647,10.5,93.0,998.2,5.9,0.0
2025-08-02 00:00:00,8.9,74.0,1012.7,7.4,174.0,0.0,0.3319999999999999,openaq_ground,1.383333333333333,Good,0,5,1,8,0.0,1.0,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,10.691666666666668,1.8666213762621582,11.224489795918368,1.7884502849586583,79.5,13.322096714465212,84.36734693877551,11.035348275637968,1004.4083333333333,4.667269629783956,1001.8938775510205,4.1339251002761666,11.570833333333333,1.983952832246695,8.908163265306122,3.3700789267892697,0.0,0.0,0.05102040816326531,0.23551578943847898,3.4761072916666667,2.354507322154762,3.7101954081632655,2.705667272604594,0.93,10.2,93.0,998.1,8.6,0.0
2025-08-02 01:00:00,8.1,81.0,1013.1,7.1,190.0,0.0,0.20525,openaq_ground,0.8552083333333333,Good,1,5,1,8,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,10.5875,1.940262756746463,11.162,1.8244249862935562,78.875,12.858130569376328,84.3,10.932538962348378,1005.0333333333334,4.7885430902873605,1002.118,4.387723597418864,11.662500000000001,1.6916193682257528,8.872,3.345300694211789,0.0,0.0,0.05,0.23321182453306447,3.440013541666667,2.3991874872477674,3.6400965000000003,2.723403663447982,1.0715,10.6,96.0,998.1,4.9,0.0
2025-08-02 02:00:00,7.7,82.0,1013.6,5.2,194.0,0.0,0.20595,openaq_ground,0.858125,Good,2,5,1,8,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,10.479166666666666,2.0276306941561253,11.094117647058823,1.8700173009580288,78.33333333333333,12.41551156965477,84.25490196078431,10.827452400735647,1005.6791666666667,4.85753374234024,1002.343137254902,4.631641389484257,11.404166666666667,2.145871499590224,8.8,3.3513579337337274,0.0,0.0,0.049019607843137254,0.23097406695956837,3.4391364583333335,2.4004166874345136,3.5727602941176473,2.738581997960699,0.2269999999999999,10.3,95.0,998.1,11.4,0.0
