datetime,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,pm25,pm10,no2,source,aqi,risk_category,hour,day_of_week,is_weekend,month,hour_sin,hour_cos,dow_sin,dow_cos,season_autumn,season_spring,season_summer,season_winter,time_of_day_afternoon,time_of_day_evening,time_of_day_morning,time_of_day_night,temperature_2m_roll_24h_mean,temperature_2m_roll_24h_std,temperature_2m_roll_7d_mean,temperature_2m_roll_7d_std,relative_humidity_2m_roll_24h_mean,relative_humidity_2m_roll_24h_std,relative_humidity_2m_roll_7d_mean,relative_humidity_2m_roll_7d_std,surface_pressure_roll_24h_mean,surface_pressure_roll_24h_std,surface_pressure_roll_7d_mean,surface_pressure_roll_7d_std,wind_speed_10m_roll_24h_mean,wind_speed_10m_roll_24h_std,wind_speed_10m_roll_7d_mean,wind_speed_10m_roll_7d_std,precipitation_roll_24h_mean,precipitation_roll_24h_std,precipitation_roll_7d_mean,precipitation_roll_7d_std,pm25_roll_24h_mean,pm25_roll_24h_std,pm25_roll_7d_mean,pm25_roll_7d_std,pm10_roll_24h_mean,pm10_roll_24h_std,pm10_roll_7d_mean,pm10_roll_7d_std,no2_roll_24h_mean,no2_roll_24h_std,no2_roll_7d_mean,no2_roll_7d_std,pm25_lag_24h,pm10_lag_24h,no2_lag_24h,temperature_2m_lag_24h,relative_humidity_2m_lag_24h,surface_pressure_lag_24h,wind_speed_10m_lag_24h,precipitation_lag_24h
2025-08-01 19:00:00,28.4,91.0,976.1,1.9,163.0,0.0,33.0,70.8,21.7,openaq_ground,94.9527896995708,Moderate,19,4,0,8,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,True,False,False,28.174999999999997,1.893065147366542,27.95952380952381,2.081633917794376,86.45833333333333,8.55152753538256,86.78571428571429,9.694191658739602,975.8249999999999,0.9344842799992092,975.3404761904762,1.179305195155923,3.9083333333333337,1.8982638902695923,5.211904761904762,2.486078544071736,0.3208333333333334,0.7300858595527259,0.8690476190476191,1.7015757539579626,26.317708333333332,8.415337573528992,31.279166666666665,14.999712310926801,61.67135416666667,16.271628782932183,57.995535714285715,23.88773393355679,15.142708333333333,6.1281173485271045,18.96964285714286,7.463860869325948,17.25,72.0,28.4,31.5,69.0,972.5,1.5,0.0
2025-08-01 20:00:00,28.2,92.0,976.5,2.3,209.0,0.0,28.5,58.3,17.0,openaq_ground,85.4892703862661,Moderate,20,4,0,8,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,True,False,False,28.145833333333332,1.8867914256901759,27.96511627906977,2.057030189482636,86.75,8.618735910541202,86.90697674418605,9.611040163439958,975.8833333333333,0.9309493362515108,975.3674418604652,1.1785222648224356,3.9125,1.8944570175394175,5.144186046511628,2.496121021713242,0.3166666666666667,0.7316845760575944,0.8488372093023255,1.686412378679502,26.755208333333332,8.23512156125353,31.21453488372093,14.826127428982282,61.5171875,16.285901316524548,58.00261627906977,23.601688637336448,14.921875,5.951945984754466,18.923837209302327,7.380584656090965,18.0,62.0,22.3,28.9,85.0,975.1,2.2,0.1
2025-08-01 21:00:00,28.2,89.0,977.1,4.6,231.0,0.0,15.0,44.0,16.7,openaq_ground,57.09871244635193,Moderate,21,4,0,8,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,False,False,True,28.150000000000002,1.8867962264113196,27.970454545454547,2.0332788899699574,86.79166666666667,8.627454492171665,86.95454545454545,9.503865909746628,975.9708333333334,0.9429275257627763,975.4068181818183,1.1936650083754277,3.9916666666666667,1.881238414187444,5.131818181818182,2.468289373491212,0.3083333333333334,0.7342056735101512,0.8295454545454546,1.6715929661246676,26.130208333333332,8.541656172669386,30.846022727272725,14.85521299071378,60.27552083333333,16.443957641743673,57.684375,23.42096294495372,14.534374999999999,5.483664785861339,18.873295454545453,7.301959452950765,30.0,73.8,26.0,28.1,88.0,975.0,2.7,0.2
2025-08-01 22:00:00,28.0,85.0,977.1,6.3,246.0,0.0,15.8,53.8,19.1,openaq_ground,58.78111587982833,Moderate,22,4,0,8,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,False,False,True,28.158333333333335,1.8856244881059756,27.971111111111114,2.0100454791578297,86.625,8.621573043194076,86.91111111111111,9.399763590407776,976.025,0.9696480760074371,975.4444444444445,1.2067152175064562,4.133333333333333,1.9230109241740545,5.157777777777778,2.4462855784460515,0.30416666666666675,0.7357215722568288,0.8111111111111111,1.6571089587019021,25.038541666666664,8.08739954969759,30.51166666666667,14.855729113712323,59.03802083333333,15.721887643525317,57.598055555555554,23.16052568419884,14.351041666666667,5.238980822966031,18.878333333333334,7.2185848564345,42.0,83.5,23.5,27.8,89.0,975.8,2.9,0.1
2025-08-01 23:00:00,27.5,84.0,976.8,4.8,250.0,0.0,16.5,56.3,17.8,openaq_ground,60.25321888412017,Moderate,23,4,0,8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,False,False,True,False,False,False,False,True,28.162500000000005,1.8839857148909167,27.960869565217394,1.9887995553845,86.29166666666667,8.55915054027062,86.84782608695652,9.304640159749091,976.025,0.9696480760074371,975.4739130434783,1.2098548641347704,4.2250000000000005,1.8990272109230253,5.15,2.41952704285592,0.30416666666666675,0.7357215722568288,0.7934782608695652,1.6429515680848492,23.976041666666664,7.408750991837789,30.207065217391307,14.83429740597732,58.60052083333333,15.642393570649999,57.56983695652174,22.902540430425407,14.359375,5.244529564533019,18.854891304347827,7.139698230405545,42.0,66.8,17.6,27.4,92.0,976.8,2.6,0.0
2025-08-02 00:00:00,27.1,85.0,976.4,5.0,232.0,0.0,13.5,56.0,18.6,openaq_ground,53.94420600858369,Moderate,0,5,1,8,0.0,1.0,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,28.154166666666665,1.888403781128312,27.94255319148936,1.9710673207627192,85.95833333333333,8.441508038911937,86.80851063829788,9.206893206515913,976.0124999999999,0.9624752961259514,975.4936170212766,1.2042324373567863,4.341666666666667,1.8547041640735813,5.146808510638298,2.393183350579561,0.30416666666666675,0.7357215722568288,0.776595744680851,1.6291118900849881,22.897916666666664,6.938185597406383,29.851595744680854,14.873177093505074,57.067187499999996,13.844594972495432,57.53643617021277,22.653389261638434,14.626041666666666,5.2924491390558295,18.84946808510638,7.06176427364777,39.375,92.8,12.2,27.3,93.0,976.7,2.2,0.0
2025-08-02 01:00:00,26.9,86.0,975.7,6.2,249.0,0.0,22.0,65.3,32.6,openaq_ground,71.8197424892704,Moderate,1,5,1,8,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,28.150000000000002,1.8911694104787204,27.920833333333334,1.955783385879497,85.58333333333333,8.21936560900494,86.79166666666667,9.109168477671826,975.975,0.9561016864241668,975.4979166666667,1.1917249403001346,4.437499999999999,1.8899764203728087,5.16875,2.3724622499967363,0.30416666666666675,0.7357215722568288,0.7604166666666666,1.6155809946748603,22.28333333333333,6.279866321387114,29.688020833333336,14.757679203304352,58.204687500000006,13.321513234004241,57.69817708333333,22.439097390181704,15.717708333333334,6.1539106034764375,19.1359375,7.2626847144818365,36.75,38.0,6.4,27.0,95.0,976.6,3.9,0.0
2025-08-02 02:00:00,26.6,87.0,975.1,5.5,257.0,0.0,31.5,93.3,16.5,openaq_ground,91.79828326180258,Moderate,2,5,1,8,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,28.154166666666665,1.88748260381656,27.893877551020406,1.9444802393854623,85.33333333333333,8.073933725087285,86.79591836734694,9.013831020152534,975.9208333333332,0.9677311729963494,975.4897959183673,1.1806151112095566,4.5249999999999995,1.8884661362667017,5.1755102040816325,2.3480959140905444,0.2958333333333334,0.7380816301423748,0.7448979591836735,1.6023499961631613,22.17395833333333,6.084475430064398,29.725,14.605438306500766,60.11302083333334,14.90744109459023,58.42474489795919,22.77916535526544,16.15447916666667,5.797164410819211,19.082142857142856,7.1964922915322695,34.125,47.5,6.0175,26.5,93.0,976.4,3.4,0.2
2025-08-02 03:00:00,26.4,88.0,975.4,4.3,248.0,0.0,25.5,74.0,12.6,openaq_ground,79.18025751072962,Moderate,3,5,1,8,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,28.158333333333335,1.8833173014579914,27.864,1.936097484474311,85.25,8.033895584389304,86.82,8.923003978481693,975.8958333333334,0.9733309757766191,975.488,1.168574921405899,4.479166666666667,1.8796343693172985,5.1579999999999995,2.327308158647265,0.24166666666666672,0.7082843120291941,0.73,1.5894101074914302,21.92395833333333,5.801299887912372,29.640500000000003,14.467978267645455,60.82135416666667,15.154920315570326,58.73625,22.65287059595858,16.4446875,5.408999059161583,18.9525,7.1814299568045525,31.5,57.0,5.635,26.3,90.0,976.0,5.4,1.3
2025-08-02 04:00:00,26.3,89.0,975.7,4.2,245.0,0.0,31.0,98.3,16.0,openaq_ground,90.74678111587984,Moderate,4,5,1,8,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,False,False,True,False,False,False,False,True,28.170833333333334,1.8693126303924992,27.833333333333332,1.9291103303509278,85.04166666666667,7.860076151122818,86.86274509803921,8.838596286386522,975.9083333333333,0.9686012625418036,975.4921568627451,1.1572109811533884,4.441666666666666,1.8756834503180697,5.13921568627451,2.3078196143869265,0.23750000000000007,0.7094471209267865,0.7156862745098039,1.5767526818140642,22.0125,5.926859458724968,29.6671568627451,14.3238328409299,62.14635416666667,16.95609919729999,59.51200980392157,23.0993822916307,16.892500000000002,4.859043786769074,18.894607843137255,7.121264220146399,28.875,66.5,5.2525,26.0,94.0,975.4,5.1,0.1
