datetime,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m,wind_direction_10m,precipitation,pm25,pm10,no2,source,aqi,risk_category,hour,day_of_week,is_weekend,month,hour_sin,hour_cos,dow_sin,dow_cos,season_autumn,time_of_day_afternoon,time_of_day_evening,time_of_day_morning,time_of_day_night,temperature_2m_roll_24h_mean,temperature_2m_roll_24h_std,temperature_2m_roll_7d_mean,temperature_2m_roll_7d_std,relative_humidity_2m_roll_24h_mean,relative_humidity_2m_roll_24h_std,relative_humidity_2m_roll_7d_mean,relative_humidity_2m_roll_7d_std,surface_pressure_roll_24h_mean,surface_pressure_roll_24h_std,surface_pressure_roll_7d_mean,surface_pressure_roll_7d_std,wind_speed_10m_roll_24h_mean,wind_speed_10m_roll_24h_std,wind_speed_10m_roll_7d_mean,wind_speed_10m_roll_7d_std,precipitation_roll_24h_mean,precipitation_roll_24h_std,precipitation_roll_7d_mean,precipitation_roll_7d_std,pm25_roll_24h_mean,pm25_roll_24h_std,pm25_roll_7d_mean,pm25_roll_7d_std,pm10_roll_24h_mean,pm10_roll_24h_std,pm10_roll_7d_mean,pm10_roll_7d_std,no2_roll_24h_mean,no2_roll_24h_std,no2_roll_7d_mean,no2_roll_7d_std,pm25_lag_24h,pm10_lag_24h,no2_lag_24h,temperature_2m_lag_24h,relative_humidity_2m_lag_24h,surface_pressure_lag_24h,wind_speed_10m_lag_24h,precipitation_lag_24h
2025-09-25 17:00:00,13.4,84.0,998.5,22.0,275.0,0.9,5.755,14.35,21.1,openaq_ground,23.979166666666668,Good,17,3,0,9,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,True,False,True,False,False,14.183333333333335,1.260319720190655,14.709523809523809,1.2407333637438327,86.08333333333333,11.661593099709341,88.69047619047619,9.454610683806385,998.5999999999999,1.006068542913968,1001.7047619047619,4.311298394262112,13.558333333333332,6.9880591736542055,16.035714285714285,6.346223052992032,0.2125,0.39376940945950445,0.580952380952381,0.8040258748530529,5.031041666666667,1.5678398176601414,4.198571428571428,1.772052291565295,13.064166666666667,4.0695570923057724,10.4175,4.658165954640906,14.036041666666668,7.341902812706789,11.377738095238096,7.04605703631479,3.395,8.16,23.3,16.3,88.0,1000.2,18.4,0.1
2025-09-25 18:00:00,13.7,85.0,999.3,19.7,255.0,0.1,5.33,13.95,21.0,openaq_ground,22.208333333333336,Good,18,3,0,9,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,True,False,True,False,False,14.112499999999999,1.2365142099079776,14.686046511627907,1.2355028656860716,85.875,11.63320771494821,88.6046511627907,9.35831571863766,998.5708333333333,0.9733309757751152,1001.6488372093023,4.275421009234248,13.741666666666667,7.092673296631784,16.12093023255814,6.295068294176795,0.20833333333333334,0.3944359392156443,0.5697674418604651,0.7977751454665986,5.104583333333333,1.5371783273728956,4.224883720930232,1.7593106226899318,13.286041666666668,3.960713588309961,10.499651162790698,4.633797346842627,13.433750000000002,5.973856676131132,11.601511627906977,7.114636869132779,3.565,8.625,35.455,15.4,90.0,1000.0,15.3,0.2
2025-09-25 19:00:00,12.7,83.0,1000.5,17.5,243.0,0.1,5.699999999999999,17.45,29.6,openaq_ground,23.75,Good,19,3,0,9,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,True,False,True,False,False,14.041666666666666,1.2676293062133808,14.640909090909092,1.2572243665402016,85.41666666666667,11.515270264972612,88.47727272727273,9.287372363174736,998.5625,0.9549926018366557,1001.6227272727273,4.228962357548779,13.987499999999999,7.117419689991466,16.152272727272727,6.224912015306614,0.19166666666666665,0.39000185804091014,0.5590909090909091,0.7916183546699236,5.197708333333334,1.5008004959431465,4.258409090909091,1.7528967164439797,13.657291666666667,3.913813879727152,10.657613636363637,4.697938004956471,13.504583333333331,6.160021865550314,12.010568181818183,7.536795955464955,3.465,8.54,27.9,14.4,94.0,1000.7,11.6,0.5
2025-09-25 20:00:00,11.8,82.0,1001.8,14.5,242.0,0.0,5.855,19.9,25.5,openaq_ground,24.395833333333336,Good,20,3,0,9,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,True,False,True,False,False,13.933333333333332,1.3444464406900187,14.577777777777778,1.313027190899109,84.875,11.349439748670228,88.33333333333333,9.231861823449941,998.6166666666667,1.0961064160745781,1001.6266666666666,4.1807132927723805,14.183333333333332,7.061633427661522,16.115555555555556,6.15869509332336,0.1708333333333333,0.38615064267793164,0.5466666666666667,0.7869965923456316,5.29375,1.4640765378543765,4.293888888888889,1.7491314236997,14.1325,3.9519670391161967,10.863000000000001,4.844303519692909,13.34625,5.773056467614089,12.310333333333334,7.717251512623579,3.55,8.495000000000001,29.3,14.4,95.0,1000.5,9.8,0.5
2025-09-25 21:00:00,11.1,81.0,1002.7,10.8,244.0,0.0,5.665,17.85,8.24,openaq_ground,23.604166666666668,Good,21,3,0,9,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,True,False,False,False,True,13.800000000000002,1.4601965323351098,14.502173913043478,1.3959447824856086,84.25,11.120877350437706,88.17391304347827,9.192519538131911,998.7125000000001,1.3336163648865673,1001.65,4.137027918687526,14.229166666666666,7.0347880389975606,16.0,6.1401049574814985,0.1625,0.38764898959036986,0.5347826086956522,0.7823660386018093,5.397916666666666,1.3932569885817512,4.323695652173913,1.7413618536404234,14.554583333333333,3.7742776206806754,11.014891304347826,4.89969857226277,13.018749999999999,5.832684006303727,12.221847826086957,7.6545849266012285,3.165,7.720000000000001,16.1,14.3,96.0,1000.4,9.7,0.2
2025-09-25 22:00:00,10.5,81.0,1003.3,10.0,253.0,0.0,5.465,16.35,7.42,openaq_ground,22.770833333333336,Good,22,3,0,9,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,True,False,False,False,True,13.641666666666667,1.602692480922587,14.417021276595746,1.4990314480177398,83.54166666666667,10.741950137364412,88.02127659574468,9.152071188016787,998.85,1.6129907409630204,1001.6851063829787,4.098885252666099,14.204166666666666,7.0492971692013455,15.872340425531915,6.135736450878133,0.15833333333333333,0.388885438217955,0.5234042553191489,0.7777371764508062,5.507083333333333,1.282794094313582,4.347978723404255,1.7303569057499664,14.889166666666666,3.546619537662237,11.128404255319149,4.908233666435344,12.840416666666668,5.939214908713445,12.11968085106383,7.603256339302726,2.845,8.32,11.7,14.3,98.0,1000.0,10.6,0.1
2025-09-25 23:00:00,10.1,82.0,1004.0,8.5,263.0,0.0,5.33,17.25,4.92,openaq_ground,22.208333333333336,Good,23,3,0,9,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,True,False,False,False,True,13.470833333333333,1.752136377128781,14.327083333333334,1.608585950101905,82.91666666666667,10.354233188775321,87.89583333333333,9.095801190152512,999.0458333333335,1.92511527981507,1001.7333333333332,4.068787959699172,14.15,7.089490077940539,15.71875,6.16267613360134,0.15416666666666665,0.3900715281861125,0.5125000000000001,0.7731188562940673,5.6000000000000005,1.1772850122209177,4.3684375,1.7177080586450204,15.242708333333333,3.3256189287195745,11.2559375,4.9354731666770695,12.690416666666666,6.096454050737496,11.9696875,7.593380124080224,3.1,8.765,8.52,14.2,97.0,999.3,9.8,0.1
2025-09-26 00:00:00,9.9,82.0,1004.9,9.5,269.0,0.0,5.265000000000001,16.35,4.6,openaq_ground,21.937500000000004,Good,0,4,0,9,0.0,1.0,-0.433883739117558,-0.9009688679024191,True,False,False,False,True,13.295833333333334,1.8908197363477874,14.236734693877551,1.7127820786602108,82.33333333333333,9.972425751155983,87.77551020408163,9.039877640493911,999.3041666666667,2.263025901725806,1001.7979591836735,4.051516680820409,14.079166666666666,7.1286305268547725,15.591836734693878,6.162515609672382,0.14166666666666666,0.3900018580409101,0.5020408163265306,0.7685185412853223,5.686875,1.0622513136075078,4.386734693877551,1.7045399278533375,15.556875,3.034952837001927,11.359897959183673,4.937711966947589,12.577499999999999,6.224199791417227,11.819285714285714,7.5872655098307105,3.18,8.81,7.31,14.1,96.0,998.7,11.2,0.3
2025-09-26 01:00:00,10.2,82.0,1005.4,7.9,274.0,0.0,4.995,14.95,6.45,openaq_ground,20.812500000000004,Good,1,4,0,9,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,True,False,False,False,True,13.15,1.9906302257456483,14.155999999999999,1.7887585479480295,81.70833333333333,9.470683216099578,87.66,8.984362832733538,999.5749999999999,2.579391569646444,1001.87,4.042188233405979,13.995833333333332,7.191025757795289,15.437999999999999,6.19555107001988,0.07083333333333333,0.20531876948162622,0.49200000000000005,0.7639425130631925,5.7558333333333325,0.9511876634053341,4.3989,1.68924867069019,15.822916666666666,2.650962875384456,11.431700000000001,4.913369994625038,12.457916666666668,6.316393425507716,11.7119,7.547738334719067,3.34,8.565,9.32,13.7,97.0,998.9,9.9,1.7
2025-09-26 02:00:00,9.7,84.0,1005.8,6.5,273.0,0.0,5.255,17.7,4.96,openaq_ground,21.895833333333336,Good,2,4,0,9,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,True,False,False,False,True,12.995833333333332,2.1101162479138775,14.068627450980392,1.8774972911914873,81.20833333333333,8.987813811013744,87.58823529411765,8.908819159884722,999.8874999999999,2.857531999896554,1001.9470588235295,4.039225318853927,13.962499999999999,7.2251861718153165,15.262745098039215,6.259679250067489,0.049999999999999996,0.18415494421345507,0.4823529411764706,0.7593960448548415,5.81375,0.8698953585245843,4.415686274509803,1.6765621311504817,16.11875,2.4296990554387494,11.554607843137255,4.942550337946723,12.262083333333335,6.477710934371444,11.579509803921567,7.531458839753555,3.865,10.6,9.66,13.4,96.0,998.3,7.3,0.5
2025-09-26 03:00:00,9.4,84.0,1006.0,6.2,282.0,0.0,5.53,17.65,8.61,openaq_ground,23.041666666666668,Good,3,4,0,9,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,True,False,False,False,True,12.858333333333333,2.234106506874273,13.978846153846153,1.968510588402202,80.79166666666667,8.592105409171781,87.51923076923077,8.835069125677796,1000.2291666666666,3.078746098045439,1002.0250000000001,4.038727959322313,13.949999999999998,7.238904553206565,15.088461538461539,6.324141539701492,0.049999999999999996,0.18415494421345507,0.4730769230769231,0.7548835476001617,5.857291666666666,0.8255156216975382,4.437115384615384,1.6672205666311493,16.335416666666667,2.3175830347990454,11.671826923076924,4.966316940132716,12.158333333333333,6.51695425437552,11.522403846153846,7.468616724326325,4.484999999999999,12.45,11.1,12.7,94.0,997.8,6.5,0.0
2025-09-26 04:00:00,9.1,83.0,1006.7,6.4,295.0,0.0,6.175000000000001,19.55,8.18,openaq_ground,25.72916666666667,Good,4,4,0,9,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,True,False,False,False,True,12.720833333333333,2.361462179072195,13.88679245283019,2.061463048032509,80.33333333333333,8.138297368489994,87.43396226415095,8.771697129803895,1000.6083333333332,3.293724819775332,1002.1132075471698,4.050927611521601,14.025,7.14655587465495,14.924528301886792,6.375732406204776,0.049999999999999996,0.18415494421345507,0.4641509433962264,0.750408693677765,5.936041666666667,0.7562478590220065,4.469905660377359,1.6682792985144788,16.708333333333332,2.0603749482888243,11.820471698113208,5.035974550875752,11.999166666666667,6.567442700411509,11.45933962264151,7.410689916349522,4.285,10.6,12.0,12.4,94.0,997.6,4.6,0.0
2025-09-26 05:00:00,9.0,84.0,1007.4,5.9,301.0,0.0,6.57,19.4,5.48,openaq_ground,27.375000000000004,Good,5,4,0,9,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,True,False,False,True,False,12.5875,2.4795358085913883,13.796296296296296,2.1474832099383585,79.91666666666667,7.649476632660782,87.37037037037037,8.701108791404689,1001.0208333333334,3.500928965744196,1002.2111111111111,4.076516579309306,14.116666666666665,7.021375231742533,14.757407407407406,6.433597011791519,0.049999999999999996,0.18415494421345507,0.4555555555555556,0.7459745219653172,6.028333333333333,0.6868875401065515,4.508796296296296,1.676996555836628,17.072916666666668,1.680966283102512,11.960833333333333,5.093761329423679,11.69,6.6965727769151995,11.348611111111111,7.385405445920281,4.355,10.65,12.9,12.2,94.0,997.5,3.7,0.0
